"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li><code>.FY.</code> - Fiscal Year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","<div class=""well"">
    在框中编辑系列列表。规则：
    <ul>
        <li>每个系列前缀占一行。</li>
        <li>允许的特殊字符为“/”和“-”</li>
        <li>
            可选地，使用点 (.)
            后跟井号 (#) 来设置系列中的位数。例如，“.####”表示系列
            将有四位数字。默认值为五位数字。
        </li>
        <li>
            您还可以在系列名称中使用变量，方法是将它们放在
            (.) 点之间
            <br>
            支持的变量：
            <ul>
                <li><code>.YYYY。</code> - 4 位数字的年份</li>
                <li><code>.YY。</code> - 2 位数字的年份</li>
                <li><code>.MM.</code> - 月份</li>
                <li><code>.DD.</code> - 月份中的日期</li>
                <li><code>.WW.</code> - 一年中的周数</li>
                <li><code>.FY.</code> - 财政年度</li>
                <li><code>.ABBR.</code> - 公司缩写</li>
                <li>
                    <code>.{fieldname}.</code> - 文档上的字段名称，例如
                    <code>分支</code>
                </li>
            </ul>
        </li>
    </ul>
    示例：
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
",
"<h3>Custom CSS Help</h3>

<p>Notes:</p>

<ol>
<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>
<li>All values are given class <code>value</code></li>
<li>All Section Breaks are given class <code>section-break</code></li>
<li>All Column Breaks are given class <code>column-break</code></li>
</ol>

<h4>Examples</h4>

<p>1. Left align integers</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Add border to sections except the last section</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
","<h3>自定义 CSS 帮助</h3>

<p>注释：</p>

<ol>
<li>所有字段组（标签 + 值）都设置了属性<code>data-fieldtype</code>和<code>data-fieldname</code></li>
<li>所有值都有类<code>value</code></li>
<li>所有分段断开均使用<code>section-break</code>类</li>
<li>所有分隔列均为<code>column-break</code>类</li>
</ol>

<h4>示例</h4>

<p>1.左对齐整数</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1.为除最后一节外的各节添加边框</p>

<pre><code>.section-break { padding：30px 0px; border-bottom：1px solid #eee; }
.section-break:last-child { padding-bottom：0px; border-bottom：0px; }</code></pre>
",
"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
","<h3>打印格式帮助</h3>
<hr>
<h4>简介</h4>
<p>打印格式是使用 Jinja 模板语言在服务器端渲染的。所有表单都可以访问<code>doc</code>对象，该对象包含正在格式化的文档的相关信息。你还可以通过<code>frappe</code>模块访问常用工具。</p>
<p>在样式设计方面，我们提供了 Boostrap CSS 框架，你可以使用全部的类。</p>
<hr>
<h4>参考资料</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja 模板语言</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS 框架</a></li>
</ol>
<hr>
<h4>示例</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;客户姓名&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table- border"" trbodybordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text- right"" Qty /th th class=""text- right"" Qtyright""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width：3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;项目代码： {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border：0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>常用函数</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>获取格式为日期、货币等的文档值。对于货币类型字段，请传递父<code>doc</code>。</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>从另一个文档获取值。</td>
		</tr>
	</tbody>
</table>
",
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4>默认模板</h4>
<p>使用<a href=""http://jinja.pocoo.org/docs/templates/"">Jinja 模板</a>，地址的所有字段（包括自定义字段（如有））均可用</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} 密码：  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}电话： {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}传真： {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}电子邮件： {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>",
"<h4>Email Reply Example</h4>

<pre>Order Overdue

Transaction {{ name }} has exceeded Due Date. Please take necessary action.

Details

- Customer: {{ customer }}
- Amount: {{ grand_total }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>
","<h4>电子邮件回复示例</h4>

<pre>订单逾期

交易 {{ name }} 已超过到期日。请采取必要行动。

详情

- 客户： {{ customer }}
- 金额： {{ grand_total }}
</pre>

<h4>如何获取字段名</h4>

<p>您可以在电子邮件模板中使用的字段名是发送电子邮件的文档中的字段。您可以通过设置 &gt; 自定义表单视图并选择文档类型（如销售发票）来查找任何文档的字段。</p>

<h4>模板</h4>

<p>模板使用 Jinja 模板语言编译。要了解有关 Jinja 的更多信息，请<a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">阅读此文档。</a></p>
",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">或者</h5>",
"<h5>Message Example</h5>

<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;

&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Details&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Customer: {{ doc.customer }}
&lt;li&gt;Amount: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>","<h5>信息示例</h5>

<pre>&lt;h3&gt;订单逾期&lt;/h3&gt;

&lt;p&gt;交易 {{ doc.name }} 已超过到期日。请采取必要行动。&lt;/p&gt;

&lt;!-- 显示最后评论 --&gt;
{% if comments %}
最后评论： {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;详情&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;客户： {{ doc.customer }}
&lt;li&gt;金额： {{ doc.grand_total }}
&lt;/ul&gt;
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>","<p><strong>条件示例：</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
","<p><strong>条件示例：</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
",
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
","<p>可为单一类型创建多个网络表单。为该网络表单添加特定筛选器，以便在提交后显示正确的记录。</p><p>例如</p>
<p>如果您每年都创建一个单独的网络表格来收集员工的反馈意见，请在 doctype 中添加一个名为年份的 
 字段，并添加过滤器<b>年份 = 2023</b></p>
",
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","<p>在渲染模板前设置上下文。示例</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>",
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","<p>要与上述 HTML 交互，您必须使用 `root_element` 作为父选择器。</p><p>例如：</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// 这里默认提供 root_element
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>",
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>",<p>您在 {0} 的 OTP 密钥已被重置。若非您本人操作，请立即联系系统管理员。</p>,
"<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ day of week (0 - 6) (0 is Sunday)
│  │  │  └───── month (1 - 12)
│  │  └────────── day of month (1 - 31)
│  └─────────────── hour (0 - 23)
└──────────────────── minute (0 - 59)

---

* - Any value
/ - Step values
</pre>
","<pre>* * * * *
┬ ┬ ┬ ┬ ┬
│ │ │ │ │
│ │ │ │ └ 星期几 (0 - 6)（0 为星期日）
│ │ │ └───── 月 (1 - 12)
│ │ └────────── 月中某天 (1 - 31)
│ └──────────────── 小时 (0 - 23)
└──────────────────── 分钟 (0 - 59)

---

* - 任意值
/ - 步长值
</pre>
",
"<pre><code>doc.grand_total &gt; 0</code></pre>

<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>
<p>Allowed functions:
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_to_date</li>
<li>frappe.utils.now</li>
</ul>
<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>","<pre><code>doc.grand_total &gt; 0</code></pre>

<p>条件应使用简单的 Python 语言编写。请仅使用表单中可用的属性。</p>
<p>允许使用的函数：
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_too_date</li>
<li>frappe.utils.now</li>
</ul>
<p>示例： </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>",
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>警告：</strong>此字段为系统生成，可能被后续更新覆盖。请使用 {0} 进行修改。,
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens",文档类型名称需以字母开头，仅可包含字母、数字、空格、下划线和连字符,
A featured post must have a cover image,精选文章必须包含封面图片,
A field with the name {0} already exists in {1},名称 {0} 的字段已存在于 {1} 中,
A file with same name {} already exists,同名文件 {} 已存在,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,用户授权后客户端应用可访问的资源列表。<br>例如：项目,
A new account has been created for you at {0},已在 {0} 为您创建新账户,
A recurring {0} {1} has been created for you via Auto Repeat {2}.,已通过自动重复 {2} 为您创建定期 {0} {1}。,
A symbol for this currency. For e.g. $,本币符号。例如：$,
A template already exists for field {0} of {1},{1} 的字段 {0} 已有模板存在,
A word by itself is easy to guess.,单个单词容易被猜中。,
A0,A0,
A1,A1,
A2,A2,
A3,A3,
A4,A4,
A5,A5,
A6,A6,
A7,A7,
A8,A8,
A9,A9,
ALL,全部,
API,API,
API Access,API 访问,
API Endpoint,API 端点,
API Endpoint Args,API 端点参数,
API Key,API 密钥,
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,与中继服务器交互的 API 密钥和密钥。当从本网站安装的任何应用发送首次推送通知时自动生成。,
API Key cannot be regenerated,API 密钥无法重新生成,
API Method,API 方法,
API Secret,API 密钥,
ASC,升序,
About,关于,
About Us,关于我们,
About Us Settings,关于我们设置,
About Us Team Member,团队成员介绍,
About {0} minute remaining,剩余约 {0} 分钟,
About {0} minutes remaining,剩余约 {0} 分钟,
About {0} seconds remaining,剩余约 {0} 秒,
Accepted,接受的,
Access Control,访问控制,
Access Key ID,访问密钥 ID,
Access Key Secret,访问密钥,
Access Log,访问日志,
Access Token,访问令牌,
Access Token URL,访问令牌 URL,
Access not allowed from this IP Address,不允许从此 IP 地址访问,
Account,帳戶,
Account Deletion Settings,账户删除设置,
Accounts Manager,账户经理,
Accounts User,账户用户,
Action,操作,
Action / Route,操作/路由,
Action Complete,操作完成,
Action Failed,操作失败,
Action Label,操作标签,
Action Timeout (Seconds),操作超时（秒）,
Action Type,操作类型,
Action {0} completed successfully on {1} {2}. View it {3},操作 {0} 已于 {1} {2} 成功完成。查看 {3},
Action {0} failed on {1} {2}. View it {3},操作 {0} 于 {1} {2} 失败。查看 {3},
Actions,操作,
Activate,激活,
Active,活动,
Active Directory,活动目录,
Active Domains,活跃域,
Active Sessions,活动会话,
Activity,活动,
Activity Log,活动日志,
Add,添加,
Add / Remove Columns,添加/移除列,
Add / Update,添加/更新,
Add A New Rule,添加新规则,
Add Attachment,添加附件,
Add Background Image,添加背景图片,
Add Border at Bottom,底部添加边框,
Add Border at Top,顶部添加边框,
Add Card to Dashboard,添加卡片到仪表盘,
Add Chart to Dashboard,添加图表到仪表盘,
Add Child,添加子项,
Add Column,添加列,
Add Contact,添加联系人,
Add Contacts,添加联系人,
Add Container,添加容器,
Add Custom Tags,添加自定义标签,
Add Filters,添加筛选条件,
Add Gray Background,添加灰色背景,
Add Group,添加组,
Add Indexes,添加索引,
Add Multiple,添加多个,
Add New Permission Rule,添加新权限规则,
Add Participants,添加参与者,
Add Query Parameters,添加查询参数,
Add Review,添加评论,
Add Roles,添加角色,
Add Row,添加行,
Add Signature,添加签名,
Add Space at Bottom,底部添加间距,
Add Space at Top,顶部添加间距,
Add Subscribers,添加订阅者,
Add Tags,添加标签,
Add Template,添加模板,
Add Total Row,添加汇总行,
Add Translate Data,添加翻译数据,
Add Unsubscribe Link,添加退订链接,
Add User Permissions,添加用户权限,
Add Video Conferencing,添加视频会议,
Add a Filter,添加筛选条件,
Add a New Role,添加新角色,
Add a Row,添加行,
Add a comment,添加评论,
Add a new section,添加新区段,
Add a row above the current row,在当前行上方添加行,
Add a row at the bottom,在底部添加行,
Add a row at the top,在顶部添加行,
Add a row below the current row,在当前行下方添加行,
Add a {0} Chart,添加 {0} 图表,
Add column,添加列,
Add field,添加字段,
Add new tab,添加新标签页,
Add page break,添加分页符,
Add script for Child Table,为子表添加脚本,
Add section above,在上方添加区段,
Add section below,在下方添加区段,
Add tab,添加标签页,
Add to Dashboard,添加到仪表盘,
Add to ToDo,添加到待办事项,
Add to table,添加到表格,
Add to this activity by mailing to {0},通过发送邮件至 {0} 添加到此活动,
Add {0},添加 {0},
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",在网页 &lt;head&gt; 部分添加 HTML，主要用于网站验证和 SEO,
Added default log doctypes: {},已添加默认日志文档类型：{},
Added {0} ({1}),已添加 {0}（{1}）,
Additional Permissions,附加权限,
Address,地址,
Address And Contacts,地址及联系信息,
Address Line 1,地址行 1,
Address Line 2,地址行 2,
Address Template,地址模板,
Address Title,地址标题,
Address Title is mandatory.,地址标题为必填项。,
Address Type,地址类型,
Address and other legal information you may want to put in the footer.,您可能希望在页脚放置的地址及其他法律信息。,
Addresses,地址,
Addresses And Contacts,地址与联系人,
Adds a custom client script to a DocType,为文档类型添加自定义客户端脚本,
Adds a custom field to a DocType,为文档类型添加自定义字段,
Administration,管理,
Administrator,管理员,
Administrator Logged In,管理员已登录,
Administrator accessed {0} on {1} via IP Address {2}.,管理员于 {1} 通过 IP 地址 {2} 访问了 {0}。,
Advanced,高级,
Advanced Control,高级控制,
Advanced Search,高级搜索,
Advanced Settings,高级设置,
After,之后,
After Cancel,取消后,
After Delete,删除后,
After Insert,插入后,
After Rename,重命名后,
After Save,保存后,
After Save (Submitted Document),保存后（已提交文档）,
After Submission,提交后,
After Submit,提交后,
Aggregate Field is required to create a number card,创建数字卡片需聚合字段,
Aggregate Function Based On,基于的聚合函数,
Aggregate Function field is required to create a dashboard chart,创建仪表盘图表需聚合函数字段,
Alert,警报,
Align,对齐,
Align Labels to the Right,标签右对齐,
Align Right,右对齐,
Align Value,对齐值,
All,全部,
All Day,全天,
All Images attached to Website Slideshow should be public,网站幻灯片中所有图片应为公开,
All Records,所有记录,
All Submissions,所有提交,
All Time,整天,
All customizations will be removed. Please confirm.,所有自定义将被移除。请确认。,
All fields are necessary to submit the comment.,提交评论需填写所有字段。,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","所有可能的工作流程状态和工作流程角色。文档状态选项：0 表示 ""已保存""，1 表示 ""已提交""，2 表示 ""已取消""",
All-uppercase is almost as easy to guess as all-lowercase.,全大写与全小写同样容易被猜中。,
Allocated To,分配给,
Allot Points To Assigned Users,为分配用户分配积分,
Allow,允许,
Allow API Indexing Access,允许 API 索引访问,
Allow Auto Repeat,允许自动重复,
Allow Bulk Edit,允许批量编辑,
Allow Bulk Editing,允许批量编辑,
Allow Comments,允许评论,
Allow Consecutive Login Attempts ,允许连续登录尝试,
Allow Delete,允许删除,
Allow Dropbox Access,允许 Dropbox 访问,
Allow Editing After Submit,提交后允许编辑,
Allow Google Calendar Access,允许访问 Google 日历,
Allow Google Contacts Access,允许访问 Google 联系人,
Allow Google Drive Access,允许访问 Google Drive,
Allow Guest,允许访客,
Allow Guest to View,允许访客查看,
Allow Guest to comment,允许访客评论,
Allow Guests to Upload Files,允许访客上传文件,
Allow Import (via Data Import Tool),允许导入（通过数据导入工具）,
Allow Incomplete Forms,允许未完成表单,
Allow Login After Fail,失败后允许登录,
Allow Login using Mobile Number,允许使用手机号登录,
Allow Login using User Name,允许使用用户名登录,
Allow Modules,允许模块,
Allow Multiple Responses,允许多次响应,
Allow Older Web View Links (Insecure),允许旧版网页视图链接（不安全）,
Allow Print,允许打印,
Allow Print for Cancelled,允许打印已取消文档,
Allow Print for Draft,允许打印草稿文档,
Allow Read On All Link Options,允许在所有链接选项上读取,
Allow Rename,允许重命名,
Allow Roles,允许角色,
Allow Self Approval,允许自我审批,
Allow Sending Usage Data for Improving Applications,允许发送使用数据以改进应用,
Allow approval for creator of the document,允许文档创建者审批,
Allow document creation via Email,允许通过邮件创建文档,
